UNICODE12,Molweight [g/mol],Ringbonds,Alkylatoms,Alkylgroups,Rotatable bonds,Internal H-bonds,Conjugated bonds,Fragments,Alkane,mu_self,hint_self,hb_self,Area,?-moment2,?-moment3,?-moment4,?-moment5,?-moment6,HB-acc_m1,HB-acc_m2,HB-acc_m3,HB-acc_m4,HB-don_m1,HB-don_m2,HB-don_m3,HB-don_m4,Volume,MWeight,E_dielec,#rotbdsmod,Tmult,rbwring,nbr11,mu_self100,hint_self100,hb_self100,n_total,Amine,nbr2u1,nbr2s1,nbr3u1,nbr3s1, nbr2u2u,nbr2s2u,nbr2s2s,nbr3u2u,nbr3s2u,nbr3u2s,nbr3s2s,nbr3u3u,nbr3s3u,nbr3s3s,Kier1,Kier2,n_arom,N,Sumq(e),S_sym,S_crs,H_crs,Hfus_exp[kcal/mol]
ZG0QH5BDXHNN,119.12,0,2,2,3,2,2,0,-1,-4.878,-8.048,-2.312,147.3,53.95,14.47,51.38,21.85,73.72,0.02,2.42,0.98,0.24,-0.01,1.1,0.47,0.13,140.84,119.12,-7.61,1.75,0.46,0,0,-8.641,-11.35,-3.878,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2.52,0,1,0,0.000914,0.012619447,2.50217,0.77
ZI1NWEHQYHNN,135.12,0,1,1,5,6,2,3,-1,-6.099,-16.454,-10.021,165.66,100.61,14.19,136.62,13.72,248.96,0.06,6.29,2.87,0.82,-0.05,5.2,2.72,1.04,152.31,135.12,-14.61,3.25,0.55,0,0,-15.61,-21.446,-12.981,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,3.239669421,0,1,0.01,0.001093136,0.019811519,4.17114,0.91
FJ8TKF7ZK1NN,58.12,0,4,0,1,0,0,0,4,-5.925,-5.86,0,117.2,4.27,0.2,0.29,0.03,0.02,0,0,0,0,0,0,0,0,100.79,58.12,-0.43,1,0.69,0,1,-6.213,-6.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0.001371388,0.0000914,0.01072,1.12
JGD7NXR2QGNN,58.12,0,4,0,0,0,0,0,4,-5.855,-5.76,0,115.84,4.51,0.19,0.32,0.02,0.03,0,0,0,0,0,0,0,0,100.46,58.12,-0.46,0,0.97,0,0,-6.114,-6.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.333333333,0,0,0,0.001927894,0.000104,0.01348,1.08
KMPIYG7VJSNN,120.11,10,0,0,0,0,10,0,-1,-3.838,-8.22,-3.428,145.21,76.41,28.92,91.74,71.85,146.48,0.06,6.08,2.78,0.9,0,0.76,0.05,0,136.42,120.11,-12.65,0,0,0,0,-8.575,-11.918,-5.359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,2.319526627,4,0,0,0,0.016717224,3.22573,6.39
SQ8U6INHRMNN,118.2,0,3,1,4,0,3,3,-1,-4.908,-11.603,-4.631,164.55,91.87,-4.7,132.16,-33.33,227.37,0.05,4.89,1.52,0.17,-0.07,6.71,3.38,1.07,152.17,118.2,-16.79,3.5,0,0,0,-11.705,-16.284,-6.818,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.166666667,0,2,0.03,0,0.017795462,3.57843,2.85
TGHOV0YXM1NN,102.14,0,3,1,3,0,3,2,-1,-5.995,-16.228,-10.312,150.14,90.05,28.03,165.93,100.46,364.43,0.1,9.89,6.2,2.97,-0.05,5.11,2.08,0.45,136.99,102.14,-15.17,2.25,0.31,0,0,-14.988,-20.467,-12.497,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3.06122449,0,2,0,0.000616,0.014815148,3.15134,4.19
KB6H6JVTN8NN,102.14,0,3,3,2,0,3,0,-1,-4.55,-9.303,-4.141,148.89,63.89,40.77,105.82,103.29,225.33,0.08,7.98,4.7,1.93,-0.02,1.64,0.74,0.19,137.05,102.14,-11.44,1.25,0.31,0,0,-9.308,-12.572,-5.507,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3.06122449,0,2,0,0.000616,0.011827803,2.30571,3.42
ATUV280F2INN,178.15,0,2,2,5,0,6,2,-1,-4.411,-7.763,-0.311,191.18,83.09,1.96,54.45,5.2,42.95,0,0.7,0.02,0,0,0.18,0,0,194.13,178.15,-15.79,3.5,1.04,0,0,-8.077,-10.836,-0.485,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,5.612244898,0,4,-0.15,0.00206702,0.010764568,1.92537,14.43
TNKXZBM3UGNN,74.12,0,4,1,3,0,0,0,-1,-5.827,-11.067,-5.47,128.84,40.47,11.57,65.18,22.91,129.43,0.04,3.82,1.92,0.64,-0.02,2.23,1.11,0.4,111.68,74.12,-5.31,3,0,0,1,-10.658,-13.64,-6.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0.009029293,1.90726,2.22
