mu_self,h_hb,h_int,e_dielec,area,sigma_m2,sigma_m3,sigma_m4,sigma_m5,sigma_m6,volume,avratio,hbacc_m1,hbacc_m2,hbacc_m3,hbacc_m4,hbdon_m1,hbdon_m2,hbdon_m3,hbdon_m4,molweight,ringbonds,alkylatoms,alkylgroups,rotatable_bonds,internal_hbonds,conjugated_bonds,rotbsdmod,tmult,nbr11,rbwring,fragments,zwitterion_in_water,n_exp
-6.62152,0,-7.35714,-2.634,150.6526,16.5524,3.8617,4.5896,1.9599,1.7212,148.4834,1.01460904,0,0,0,0,0,0,0,0,118.61,6,0,0,0,0,0,0.24,0.5,0,5.5,0,0,1.4626
-3.71286,-0.45806,-4.59781,-6.4355,125.7169,38.2212,25.7907,39.618,43.8048,57.1427,112.46,1.11788102,0.0305,3.2457,1.0705,0.1804,0,0,0,0,84.12,5,0,0,0,0,1,0.06,0.55,0,4.5,0,0,1.4366
-4.62438,-0.19123,-5.01208,-3.4716,121.072,26.3268,16.4216,24.8264,28.6512,37.9286,104.6939,1.15643796,0.0202,2.1036,0.8068,0.1614,0,0,0,0,72.11,3,1,1,1,0,0,0.75,0.39,0,2.5,0,0,1.3802
-7.37344,-0.06209,-8.37364,-2.8857,184.251,22.242,15.7633,24.8875,34.0349,49.8821,193.4702,0.95234822,0.0226,2.2647,1.2383,0.4323,0,0,0,0,130.23,0,8,2,0,0,0,0,1.61,0,0,0,0,1.3949
-5.70954,-0.21107,-6.70758,-4.0996,160.2461,33.3238,25.7053,37.5886,46.4602,62.4451,146.5378,1.09354788,0.0328,3.378,1.3844,0.3147,0,0,0,0,104.15,0,4,2,4,0,0,4,0.64,2,0,0,0,1.373
-5.29661,-1.4687,-8.4458,-9.5796,190.6273,66.4094,41.5179,76.5905,80.9214,120.1113,206.2452,0.92427509,0.0611,6.3098,2.5268,0.544,0,0.111,0,0,162.18,0,5,3,6,0,1,5,0.48,0,0,3,0,1.4
-5.379,-1.21957,-6.75602,-2.8936,134.4994,23.8351,18.147,39.0107,56.1376,102.9533,116.5842,1.15366748,0.0286,2.8715,1.8144,0.9932,-0.0002,0.0831,0.0014,0,73.14,0,4,2,2,0,0,2,0.61,2,0,0,0,1.3864
-4.7726,-0.23807,-5.51159,-4.5516,139.4747,34.9616,28.9035,41.7282,52.2036,70.1695,124.8275,1.11733953,0.0366,3.7828,1.5816,0.365,0,0,0,0,90.12,0,2,2,3,0,0,3,0.69,2,0,0,0,1.3813
-6.52505,-0.38283,-8.59023,-6.2727,193.2648,42.9286,16.8972,31.4777,27.8995,36.866,188.7142,1.02411371,0.0199,2.0918,0.5498,0.0374,0,0,0,0,150.18,6,2,1,3,0,7,2.25,0.37,0,0,0,0,1.506
-5.13783,0,-5.59619,-3.0488,103.3799,19.4244,2.0631,6.4145,1.2446,2.4976,87.342,1.18362185,0,0,0,0,0,0,0,0,108.97,0,2,1,0,0,0,0,0,0,0,0,0,1.4242
-5.46265,-0.3415,-6.94356,-5.951,172.4151,41.8424,26.9527,39.9779,43.5907,55.8552,159.21,1.0829414,0.0302,3.1566,1.0081,0.1528,0,0,0,0,116.16,0,5,2,4,0,1,3.5,0,0,0,0,0,1.4
-5.59471,-0.44109,-7.1823,-5.8031,175.0172,39.1879,2.6682,24.379,-0.809,24.9922,167.8315,1.04281497,0.0041,0.4544,0.1267,0.0087,-0.007,0.7915,0.2103,0.0203,121.18,6,2,1,2,0,6,1.75,0.42,0,0,0,0,1.5559
-7.2871,0,-8.75245,-3.1182,144.975,21.1874,2.7322,6.7522,1.5434,2.7357,138.025,1.0503532,0,0,0,0,0,0,0,0,184.02,0,4,1,1,0,0,0.75,0.39,0,0,0,0,1.496
-5.19554,-5.16576,-9.78313,-4.9875,107.0587,38.6011,9.8519,61.7863,19.2494,122.4454,91.1696,1.17428068,0.0354,3.5813,1.7556,0.5669,-0.0214,2.1719,1.0832,0.3972,60.1,0,3,1,1,0,0,0.75,0.46,0,0,0,0,1.3772
-6.41598,-0.05675,-7.15281,-3.0502,163.412,22.6982,17.4021,25.9674,34.5009,48.5645,156.4447,1.04453523,0.024,2.4109,1.169,0.3421,0,0,0,0,102.18,0,6,2,2,0,0,1.5,1.17,0,0,0,0,1.3689
-6.57864,0,-7.82342,-3.2657,127.2742,21.2323,3.5567,6.8537,2.2361,2.757,117.8414,1.08004657,0,0,0,0,0,0,0,0,169.99,0,3,1,0,0,0,0,0.46,0,0,0,0,1.5026
-5.08338,-0.4137,-6.36831,-6.0866,156.5466,35.9326,22.8987,36.5159,40.522,54.1411,148.12,1.05689036,0.0289,3.0246,1.0659,0.1989,0,0,0,0,100.16,0,5,2,2,0,1,1.5,0.31,0,0,0,0,1.396
-7.34425,0,-8.793,-3.4364,165.562,23.7227,-1.9524,5.6827,-1.0462,1.6548,158.8024,1.04256611,0,0,0,0,0,0,0,0,171.04,6,1,1,0,0,6,0,0,0,0,0,0,1.551
-7.36714,0,-8.6875,-2.7741,160.0819,20.9074,-6.4213,6.7034,-3.8368,3.0538,152.2486,1.05145072,0,0,0,0,0,0.0057,0,0,147,6,0,0,0,0,6,0,0.59,0,0,0,0,1.5459
-3.55517,-0.73136,-4.69436,-6.2947,114.6725,44.0997,26.0132,43.4067,44.0218,58.6566,96.7277,1.18551873,0.031,3.2893,1.0265,0.1487,0,0,0,0,74.08,0,2,2,1,0,1,0.75,0,0,0,0,0,1.3614
-3.10425,-0.8329,-4.28731,-5.9542,93.8101,42.9761,16.4821,39.8891,26.8807,46.7786,75.8329,1.23706333,0.0208,2.3381,0.5516,0.0444,-0.0002,0.2503,0.0007,0,60.05,0,1,1,1,0,1,1,0,0,0,0,0,1.344
-4.42283,-0.45236,-5.5696,-6.354,140.9048,36.8658,24.4245,38.5268,43.1726,57.6413,126.5314,1.11359552,0.0305,3.1751,1.134,0.2218,0,0,0,0,86.13,0,4,2,2,0,1,1.75,0,0,0,0,0,1.3895
-3.78177,-0.71449,-4.98988,-6.5961,117.2493,39.5615,22.2903,39.472,40.489,55.2936,100.3028,1.16895341,0.0297,3.1133,1.0253,0.1619,0,0,0,0,70.09,0,1,1,1,0,3,0.75,0,0,0,0,0,1.4086
-7.00769,0,-8.14502,-3.1038,161.8498,20.2112,3.3459,6.1462,1.7845,2.4125,149.9661,1.07924258,0,0,0,0,0,0,0,0,151.05,0,5,1,3,0,0,3,0,2,0,0,0,1.4444
-6.75422,0,-7.66535,-2.7307,156.8749,17.583,2.5705,4.8188,1.2461,1.7128,143.8507,1.09053971,0,0,0,0,0,0,0,0,106.59,0,5,1,3,0,0,3,0,2,0,0,0,1.4128
-9.20096,-0.00585,-11.25652,-3.1595,249.0536,24.6873,19.5692,26.8059,34.7889,47.0074,239.0698,1.04176103,0.0247,2.5187,1.0783,0.2602,0,0,0,0,158.28,0,10,2,8,0,0,8,0.66,6,0,2,0,1.4119
-5.36939,-0.49587,-7.08686,-6.3764,173.9974,44.5779,27.9275,43.7027,46.1949,60.7666,159.0132,1.09423243,0.0326,3.4075,1.1016,0.1682,0,0,0,0,116.16,0,5,2,4,0,1,3.75,0,1,0,0,0,1.3951
-5.8266,-5.47,-11.06676,-5.3069,128.8354,40.4706,11.5663,65.1788,22.9111,129.4274,111.6763,1.15365033,0.0376,3.815,1.9157,0.6431,-0.022,2.2276,1.1117,0.4001,74.12,0,4,1,3,0,0,3,0,1,0,0,0,1.3993
-6.38707,0,-7.25748,-3.0365,142.3636,19.6922,3.1143,6.1007,1.6856,2.3976,129.4199,1.10001321,0,0,0,0,0,0,0,0,137.02,0,4,1,2,0,0,2,0,1,0,0,0,1.4398
-7.35225,0,-8.95986,-3.3281,149.2958,22.3916,3.2638,7.4702,1.8743,3.1609,138.9979,1.07408673,0,0,0,0,0,0,0,0,184.02,0,4,1,2,0,0,2,0,1,0,0,0,1.4998
-6.68214,-0.2821,-8.69476,-6.2836,211.9876,42.8846,27.0959,40.0233,43.651,55.9289,200.2089,1.05883205,0.0302,3.1677,1.0108,0.1528,0,0,0,0,144.21,0,7,2,6,0,1,5.5,0,1,0,3,0,1.4064
-4.77574,-2.69837,-7.40206,-4.346,132.1313,34.9278,28.7817,69.6631,109.8184,219.96,115.7447,1.14157538,0.0446,4.4976,3.1397,2.03,-0.0002,0.1357,0.0004,0,73.14,0,4,1,3,0,0,3,0,1,0,0,0,1.401
-7.43056,-0.00264,-8.72894,-3.0998,199.0823,22.4843,2.9048,5.7366,1.5817,1.9496,195.7429,1.01706013,0,0,0,0,0,0,0,0,134.22,6,4,1,3,0,6,2.75,0.39,1,0,0,0,1.4904
-9.66805,-5.63651,-17.09694,-5.5632,246.6698,43.297,9.7532,67.9417,18.6257,138.5553,236.6003,1.04255912,0.0376,3.8144,1.95,0.6765,-0.0247,2.4943,1.3101,0.4975,158.28,0,10,1,9,0,0,9,0,7,0,2,0,1.4359
-7.95706,-1.06221,-10.40029,-3.1305,212.9964,25.7529,19.6685,40.7282,60.109,109.9233,200.3994,1.06285947,0.03,3.0186,1.9381,1.0717,-0.0002,0.0845,0.001,0,129.24,0,8,2,6,0,0,6,0.65,4,0,2,0,1.4177
-6.65908,-1.08208,-8.48514,-2.989,173.471,24.6436,19.3786,40.1494,59.5482,108.8133,159.5954,1.08694236,0.0295,2.9598,1.8995,1.0567,-0.0001,0.0711,0.0007,0,101.19,0,6,2,4,0,0,4,0.64,2,0,0,0,1.4046
-7.31914,0,-7.81096,-0.5452,156.5298,5.2521,0.3039,0.354,0.0396,0.0294,143.3528,1.09192007,0,0,0,0,0,0,0,0,86.18,0,6,0,3,0,0,3,0.69,3,0,0,0,1.375
-5.39143,0,-5.77826,-2.6251,117.534,16.7372,2.1162,4.7884,1.1009,1.6924,101.7714,1.15488241,0,0,0,0,0,0,0,0,78.54,0,3,1,1,0,0,1,0,0,0,0,0,1.3886
-7.27288,0,-8.62539,-3.1339,162.29,22.9949,-1.6787,5.3926,-0.8639,1.5235,158.2816,1.02532448,0,0,0,0,0,0,0,0,171.04,6,1,1,0,0,6,0,0,0,0,0,0,1.555
-5.0701,-0.85216,-7.14793,-6.6162,152.5744,46.2366,-12.1121,39.1196,-18.7511,50.1427,145.8486,1.04611494,0.0066,0.7004,0.2477,0.0435,-0.0196,2.0636,0.5985,0.0627,127.57,6,0,0,1,0,6,0.75,0,0,0,0,0,1.5895
-7.17617,0,-8.43392,-3.0293,157.4311,20.4236,-5.1733,5.867,-2.891,2.3305,151.449,1.03949911,0,0,0,0,0,0.0001,0,0,147,6,0,0,0,0,6,0,0.69,0,0,0,0,1.5515
-8.6807,0,-9.7905,-0.66,196.203,6.1836,0.2864,0.3984,0.0395,0.0318,184.5689,1.06303391,0,0,0,0,0,0,0,0,114.23,0,8,0,5,0,0,5,0.69,5,0,2,0,1.3976
-8.43294,-5.69976,-15.20936,-5.4667,207.0349,42.3954,9.6187,67.8864,18.6113,138.5509,194.5942,1.0639315,0.0376,3.8144,1.95,0.6765,-0.0247,2.4943,1.3101,0.4975,130.23,0,8,1,7,0,0,7,0,5,0,2,0,1.43
